127.0.0.1 - - [18/Apr/2014:19:09:46 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:09:47 +0300] "GET /Matura/index.jsp HTTP/1.1" 200 16474
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:09:48 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:09:48 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:09:48 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:09:48 +0300] "GET /Matura/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:00 +0300] "GET /Matura/ HTTP/1.1" 200 16474
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:00 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 200 13185
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:00 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:00 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 99961
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:00 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:43 +0300] "GET /Matura/index.jsp HTTP/1.1" 200 16474
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:43 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:43 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:43 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:43 +0300] "GET /Matura/index.jsp HTTP/1.1" 200 16474
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:43 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:43 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:43 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:43 +0300] "GET /Matura/index.jsp HTTP/1.1" 200 16474
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:43 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:43 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:43 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:43 +0300] "GET /Matura/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:44 +0300] "GET /Matura/index.jsp HTTP/1.1" 200 16474
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:44 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:44 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:44 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:44 +0300] "GET /Matura/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:45 +0300] "GET /Matura/index.jsp HTTP/1.1" 200 16474
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:45 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:45 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:45 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:10:45 +0300] "GET /Matura/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:11:03 +0300] "GET /Matura/ HTTP/1.1" 200 16491
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:11:03 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:11:03 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:11:03 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:13:38 +0300] "GET /Matura/ HTTP/1.1" 200 16608
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:13:38 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:13:38 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:13:38 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:14:23 +0300] "GET /Matura/ HTTP/1.1" 200 16626
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:14:23 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:14:23 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:14:23 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:19:17 +0300] "GET /Matura/ HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:19:17 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:19:17 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:19:17 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:24:24 +0300] "GET /Matura/ HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:24:24 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:24:25 +0300] "GET /Matura/ HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:24:25 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:24:26 +0300] "GET /Matura/ HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:24:26 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:24:26 +0300] "GET /Matura/ HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:24:26 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:24:31 +0300] "GET /Matura/ HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:24:31 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:24:31 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:24:31 +0300] "GET /Matura/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:24:32 +0300] "GET /Matura/ HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:24:32 +0300] "GET /Matura/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2014:19:24:32 +0300] "GET /Matura/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
